number;EN;ES;ftu8;utf8;tag;unicode;native
1214;ear: medium skin tone;Oído: tono de piel medio;<ed><a0><bd><ed><b1><82><ed><a0><bc><ed><bf><bd>;<f0><9f><91><82><f0><9f><8f><bd>;body medium skin tone;U+1F442 U+1F3FD;👂 🏽
1215;ear: medium-dark skin tone;Oído: tono medio-oscuro de la piel;<ed><a0><bd><ed><b1><82><ed><a0><bc><ed><bf><be>;<f0><9f><91><82><f0><9f><8f><be>;body medium-dark_skin_tone medium-dark skin tone;U+1F442 U+1F3FE;👂 🏾
1216;ear: dark skin tone;Oído: tono de piel oscuro;<ed><a0><bd><ed><b1><82><ed><a0><bc><ed><bf><bf>;<f0><9f><91><82><f0><9f><8f><bf>;body dark skin tone;U+1F442 U+1F3FF;👂 🏿
1217;nose;nariz;<ed><a0><bd><ed><b1><83>;<f0><9f><91><83>;body;U+1F443;👃
1218;nose: light skin tone;Nariz: tono de piel claro;<ed><a0><bd><ed><b1><83><ed><a0><bc><ed><bf><bb>;<f0><9f><91><83><f0><9f><8f><bb>;body light skin tone;U+1F443 U+1F3FB;👃 🏻
1219;nose: medium-light skin tone;Nariz: tono medio de la piel;<ed><a0><bd><ed><b1><83><ed><a0><bc><ed><bf><bc>;<f0><9f><91><83><f0><9f><8f><bc>;body medium-light_skin_tone medium-light skin tone;U+1F443 U+1F3FC;👃 🏼
122;woman: dark skin tone;Mujer: tono de piel oscuro;<ed><a0><bd><ed><b1><a9><ed><a0><bc><ed><bf><bf>;<f0><9f><91><a9><f0><9f><8f><bf>;dark skin tone woman;U+1F469 U+1F3FF;👩 🏿
1220;nose: medium skin tone;Nariz: tono de piel medio;<ed><a0><bd><ed><b1><83><ed><a0><bc><ed><bf><bd>;<f0><9f><91><83><f0><9f><8f><bd>;body medium skin tone;U+1F443 U+1F3FD;👃 🏽
1221;nose: medium-dark skin tone;Nariz: tono medio-oscuro de la piel;<ed><a0><bd><ed><b1><83><ed><a0><bc><ed><bf><be>;<f0><9f><91><83><f0><9f><8f><be>;body medium-dark_skin_tone medium-dark skin tone;U+1F443 U+1F3FE;👃 🏾
1222;nose: dark skin tone;Nariz: tono de piel oscuro;<ed><a0><bd><ed><b1><83><ed><a0><bc><ed><bf><bf>;<f0><9f><91><83><f0><9f><8f><bf>;body dark skin tone;U+1F443 U+1F3FF;👃 🏿
1223;footprints;Huellas;<ed><a0><bd><ed><b1><a3>;<f0><9f><91><a3>;clothing footprint print;U+1F463;👣
1224;eyes;Ojos;<ed><a0><bd><ed><b1><80>;<f0><9f><91><80>;eye face;U+1F440;👀
1225;eye;ojo;<ed><a0><bd><ed><b1><81>;<f0><9f><91><81>;body;U+1F441;👁
1226;eye in speech bubble;Ojo en la burbuja del discurso;<ed><a0><bd><ed><b1><81><ef><b8><8f><e2><80><8d><ed><a0><bd><ed><b7><a8><ef><b8><8f>;<f0><9f><91><81><ef><b8><8f><e2><80><8d><f0><9f><97><a8><ef><b8><8f>;eye speech bubble witness;U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F;👁 ️ ‍ 🗨 ️
1227;tongue;lengua;<ed><a0><bd><ed><b1><85>;<f0><9f><91><85>;body;U+1F445;👅
1228;mouth;boca;<ed><a0><bd><ed><b1><84>;<f0><9f><91><84>;lips;U+1F444;👄
1229;kiss mark;marca de beso;<ed><a0><bd><ed><b2><8b>;<f0><9f><92><8b>;kiss lips;U+1F48B;💋
123;old man;anciano;<ed><a0><bd><ed><b1><b4>;<f0><9f><91><b4>;man old;U+1F474;👴
1230;heart with arrow;Corazón con flecha;<ed><a0><bd><ed><b2><98>;<f0><9f><92><98>;arrow cupid;U+1F498;💘
1231;red heart;corazón rojo;<e2><9d><a4>;<e2><9d><a4>;heart;U+2764;❤
1232;beating heart;corazón palpitante;<ed><a0><bd><ed><b2><93>;<f0><9f><92><93>;beating heartbeat pulsating;U+1F493;💓
1233;broken heart;corazón roto;<ed><a0><bd><ed><b2><94>;<f0><9f><92><94>;break broken;U+1F494;💔
1234;two hearts;dos corazones;<ed><a0><bd><ed><b2><95>;<f0><9f><92><95>;love;U+1F495;💕
1235;sparkling heart;Corazón brillante;<ed><a0><bd><ed><b2><96>;<f0><9f><92><96>;excited sparkle;U+1F496;💖
1236;growing heart;Corazón creciente;<ed><a0><bd><ed><b2><97>;<f0><9f><92><97>;excited growing nervous pulse;U+1F497;💗
1237;blue heart;corazón azul;<ed><a0><bd><ed><b2><99>;<f0><9f><92><99>;blue;U+1F499;💙
1238;green heart;corazón verde;<ed><a0><bd><ed><b2><9a>;<f0><9f><92><9a>;green;U+1F49A;💚
1239;yellow heart;Corazón amarillo;<ed><a0><bd><ed><b2><9b>;<f0><9f><92><9b>;yellow;U+1F49B;💛
124;old man: light skin tone;Viejo: tono de piel claro;<ed><a0><bd><ed><b1><b4><ed><a0><bc><ed><bf><bb>;<f0><9f><91><b4><f0><9f><8f><bb>;light skin tone man old;U+1F474 U+1F3FB;👴 🏻
1240;purple heart;corazón Purpura;<ed><a0><bd><ed><b2><9c>;<f0><9f><92><9c>;purple;U+1F49C;💜
1241;black heart;Corazón negro;<ed><a0><bd><ed><b6><a4>;<f0><9f><96><a4>;black evil wicked;U+1F5A4;🖤
1242;heart with ribbon;Corazón con la cinta;<ed><a0><bd><ed><b2><9d>;<f0><9f><92><9d>;ribbon valentine;U+1F49D;💝
1243;revolving hearts;Corazones giratorios;<ed><a0><bd><ed><b2><9e>;<f0><9f><92><9e>;revolving;U+1F49E;💞
1244;heart decoration;Decoración del corazón;<ed><a0><bd><ed><b2><9f>;<f0><9f><92><9f>;heart;U+1F49F;💟
1245;heavy heart exclamation;Exclamación de corazón pesado;<e2><9d><a3>;<e2><9d><a3>;exclamation mark punctuation;U+2763;❣
1246;love letter;carta de amor;<ed><a0><bd><ed><b2><8c>;<f0><9f><92><8c>;heart letter love mail;U+1F48C;💌
1247;zzz;Zzz;<ed><a0><bd><ed><b2><a4>;<f0><9f><92><a4>;comic sleep;U+1F4A4;💤
1248;anger symbol;Símbolo de ira;<ed><a0><bd><ed><b2><a2>;<f0><9f><92><a2>;angry comic mad;U+1F4A2;💢
1249;bomb;bomba;<ed><a0><bd><ed><b2><a3>;<f0><9f><92><a3>;comic;U+1F4A3;💣
125;old man: medium-light skin tone;Viejo: tono medio de la piel;<ed><a0><bd><ed><b1><b4><ed><a0><bc><ed><bf><bc>;<f0><9f><91><b4><f0><9f><8f><bc>;man medium-light_skin_tone medium-light skin tone old;U+1F474 U+1F3FC;👴 🏼
1250;collision;colisión;<ed><a0><bd><ed><b2><a5>;<f0><9f><92><a5>;boom comic;U+1F4A5;💥
1251;sweat droplets;Gotas de sudor;<ed><a0><bd><ed><b2><a6>;<f0><9f><92><a6>;comic splashing sweat;U+1F4A6;💦
1252;dashing away;Corriendo lejos;<ed><a0><bd><ed><b2><a8>;<f0><9f><92><a8>;comic dash running;U+1F4A8;💨
1253;dizzy;mareado;<ed><a0><bd><ed><b2><ab>;<f0><9f><92><ab>;comic star;U+1F4AB;💫
1254;speech balloon;Globo de discurso;<ed><a0><bd><ed><b2><ac>;<f0><9f><92><ac>;balloon bubble comic dialog speech;U+1F4AC;💬
1255;left speech bubble;Burbuja de discurso izquierda;<ed><a0><bd><ed><b7><a8>;<f0><9f><97><a8>;dialog speech;U+1F5E8;🗨
1256;right anger bubble;Burbuja de ira derecha;<ed><a0><bd><ed><b7><af>;<f0><9f><97><af>;angry balloon bubble mad;U+1F5EF;🗯
1257;thought balloon;Globo de pensamiento;<ed><a0><bd><ed><b2><ad>;<f0><9f><92><ad>;balloon bubble comic thought;U+1F4AD;💭
1258;hole;agujero;<ed><a0><bd><ed><b5><b3>;<f0><9f><95><b3>;hole;U+1F573;🕳
1259;glasses;gafas;<ed><a0><bd><ed><b1><93>;<f0><9f><91><93>;clothing eye eyeglasses eyewear;U+1F453;👓
126;old man: medium skin tone;Viejo: tono de piel medio;<ed><a0><bd><ed><b1><b4><ed><a0><bc><ed><bf><bd>;<f0><9f><91><b4><f0><9f><8f><bd>;man medium skin tone old;U+1F474 U+1F3FD;👴 🏽
1260;sunglasses;Gafas de sol;<ed><a0><bd><ed><b5><b6>;<f0><9f><95><b6>;dark eye eyewear glasses;U+1F576;🕶
1261;necktie;corbata;<ed><a0><bd><ed><b1><94>;<f0><9f><91><94>;clothing;U+1F454;👔
1262;t-shirt;camiseta;<ed><a0><bd><ed><b1><95>;<f0><9f><91><95>;clothing shirt tshirt;U+1F455;👕
1263;jeans;pantalones;<ed><a0><bd><ed><b1><96>;<f0><9f><91><96>;clothing pants trousers;U+1F456;👖
1264;dress;vestir;<ed><a0><bd><ed><b1><97>;<f0><9f><91><97>;clothing;U+1F457;👗
1265;kimono;kimono;<ed><a0><bd><ed><b1><98>;<f0><9f><91><98>;clothing;U+1F458;👘
1266;bikini;bikini;<ed><a0><bd><ed><b1><99>;<f0><9f><91><99>;clothing swim;U+1F459;👙
1267;womanâ€™s clothes;Ropa de mujer;<ed><a0><bd><ed><b1><9a>;<f0><9f><91><9a>;clothing woman;U+1F45A;👚
1268;purse;bolso;<ed><a0><bd><ed><b1><9b>;<f0><9f><91><9b>;clothing coin;U+1F45B;👛
1269;handbag;bolso;<ed><a0><bd><ed><b1><9c>;<f0><9f><91><9c>;bag clothing purse;U+1F45C;👜
127;old man: medium-dark skin tone;Viejo: tono medio-oscuro de la piel;<ed><a0><bd><ed><b1><b4><ed><a0><bc><ed><bf><be>;<f0><9f><91><b4><f0><9f><8f><be>;man medium-dark_skin_tone medium-dark skin tone old;U+1F474 U+1F3FE;👴 🏾
1270;clutch bag;Bolso de embrague;<ed><a0><bd><ed><b1><9d>;<f0><9f><91><9d>;bag clothing pouch;U+1F45D;👝
1271;shopping bags;bolsas de compra;<ed><a0><bd><ed><bb><8d>;<f0><9f><9b><8d>;bag hotel shopping;U+1F6CD;🛍
1272;school backpack;Mochila escolar;<ed><a0><bc><ed><be><92>;<f0><9f><8e><92>;bag satchel school;U+1F392;🎒
1273;manâ€™s shoe;El zapato del hombre;<ed><a0><bd><ed><b1><9e>;<f0><9f><91><9e>;clothing man shoe;U+1F45E;👞
1274;running shoe;Zapatos para correr;<ed><a0><bd><ed><b1><9f>;<f0><9f><91><9f>;athletic clothing shoe sneaker;U+1F45F;👟
1275;high-heeled shoe;zapato de tacón alto;<ed><a0><bd><ed><b1><a0>;<f0><9f><91><a0>;clothing heel shoe woman;U+1F460;👠
1276;womanâ€™s sandal;Sandalia de mujer;<ed><a0><bd><ed><b1><a1>;<f0><9f><91><a1>;clothing sandal shoe woman;U+1F461;👡
1277;womanâ€™s boot;Bota de mujer;<ed><a0><bd><ed><b1><a2>;<f0><9f><91><a2>;boot clothing shoe woman;U+1F462;👢
1278;crown;corona;<ed><a0><bd><ed><b1><91>;<f0><9f><91><91>;clothing king queen;U+1F451;👑
1279;womanâ€™s hat;Sombrero de mujer;<ed><a0><bd><ed><b1><92>;<f0><9f><91><92>;clothing hat woman;U+1F452;👒
128;old man: dark skin tone;Viejo: tono de piel oscuro;<ed><a0><bd><ed><b1><b4><ed><a0><bc><ed><bf><bf>;<f0><9f><91><b4><f0><9f><8f><bf>;dark skin tone man old;U+1F474 U+1F3FF;👴 🏿
1280;top hat;Sombrero de copa;<ed><a0><bc><ed><be><a9>;<f0><9f><8e><a9>;clothing hat top tophat;U+1F3A9;🎩
1281;graduation cap;gorro de graduación;<ed><a0><bc><ed><be><93>;<f0><9f><8e><93>;cap celebration clothing graduation hat;U+1F393;🎓
1282;rescue workerâ€™s helmet;Casco de rescate;<e2><9b><91>;<e2><9b><91>;aid cross face hat helmet;U+26D1;⛑
1283;prayer beads;Rosario;<ed><a0><bd><ed><b3><bf>;<f0><9f><93><bf>;beads clothing necklace prayer religion;U+1F4FF;📿
1284;lipstick;lápiz labial;<ed><a0><bd><ed><b2><84>;<f0><9f><92><84>;cosmetics makeup;U+1F484;💄
1285;ring;anillo;<ed><a0><bd><ed><b2><8d>;<f0><9f><92><8d>;diamond;U+1F48D;💍
1286;gem stone;Piedra de gema;<ed><a0><bd><ed><b2><8e>;<f0><9f><92><8e>;diamond gem jewel;U+1F48E;💎
1287;monkey face;cara de mono;<ed><a0><bd><ed><b0><b5>;<f0><9f><90><b5>;face monkey;U+1F435;🐵
1288;monkey;mono;<ed><a0><bd><ed><b0><92>;<f0><9f><90><92>;monkey;U+1F412;🐒
1289;gorilla;gorila;<ed><a0><be><ed><b6><8d>;<f0><9f><a6><8d>;gorilla;U+1F98D;🦍
129;old woman;anciana;<ed><a0><bd><ed><b1><b5>;<f0><9f><91><b5>;old woman;U+1F475;👵
1290;dog face;cara de perro;<ed><a0><bd><ed><b0><b6>;<f0><9f><90><b6>;dog face pet;U+1F436;🐶
1291;dog;perro;<ed><a0><bd><ed><b0><95>;<f0><9f><90><95>;pet;U+1F415;🐕
1292;poodle;caniche;<ed><a0><bd><ed><b0><a9>;<f0><9f><90><a9>;dog;U+1F429;🐩
1293;wolf face;Cara de lobo;<ed><a0><bd><ed><b0><ba>;<f0><9f><90><ba>;face wolf;U+1F43A;🐺
1294;fox face;Cara de zorro;<ed><a0><be><ed><b6><8a>;<f0><9f><a6><8a>;face fox;U+1F98A;🦊
1295;cat face;Cara de gato;<ed><a0><bd><ed><b0><b1>;<f0><9f><90><b1>;cat face pet;U+1F431;🐱
1296;cat;gato;<ed><a0><bd><ed><b0><88>;<f0><9f><90><88>;pet;U+1F408;🐈
1297;lion face;Cara de león;<ed><a0><be><ed><b6><81>;<f0><9f><a6><81>;face Leo lion zodiac;U+1F981;🦁
1298;tiger face;Cara de tigre;<ed><a0><bd><ed><b0><af>;<f0><9f><90><af>;face tiger;U+1F42F;🐯
1299;tiger;Tigre;<ed><a0><bd><ed><b0><85>;<f0><9f><90><85>;tiger;U+1F405;🐅
13;smiling face with heart-eyes;Cara sonriente con ojos de corazón;<ed><a0><bd><ed><b8><8d>;<f0><9f><98><8d>;eye face love smile;U+1F60D;😍
130;old woman: light skin tone;Vieja: tono de piel claro;<ed><a0><bd><ed><b1><b5><ed><a0><bc><ed><bf><bb>;<f0><9f><91><b5><f0><9f><8f><bb>;light skin tone old woman;U+1F475 U+1F3FB;👵 🏻
1300;leopard;leopardo;<ed><a0><bd><ed><b0><86>;<f0><9f><90><86>;leopard;U+1F406;🐆
1301;horse face;cara de caballo;<ed><a0><bd><ed><b0><b4>;<f0><9f><90><b4>;face horse;U+1F434;🐴
1302;horse;caballo;<ed><a0><bd><ed><b0><8e>;<f0><9f><90><8e>;equestrian racehorse racing;U+1F40E;🐎
1303;deer;ciervo;<ed><a0><be><ed><b6><8c>;<f0><9f><a6><8c>;deer;U+1F98C;🦌
1304;unicorn face;Cara de unicornio;<ed><a0><be><ed><b6><84>;<f0><9f><a6><84>;face unicorn;U+1F984;🦄
1305;cow face;Cara de vaca;<ed><a0><bd><ed><b0><ae>;<f0><9f><90><ae>;cow face;U+1F42E;🐮
1306;ox;buey;<ed><a0><bd><ed><b0><82>;<f0><9f><90><82>;bull Taurus zodiac;U+1F402;🐂
1307;water buffalo;búfalo de agua;<ed><a0><bd><ed><b0><83>;<f0><9f><90><83>;buffalo water;U+1F403;🐃
1308;cow;vaca;<ed><a0><bd><ed><b0><84>;<f0><9f><90><84>;cow;U+1F404;🐄
1309;pig face;cara de puerco;<ed><a0><bd><ed><b0><b7>;<f0><9f><90><b7>;face pig;U+1F437;🐷
131;old woman: medium-light skin tone;Vieja: tono medio de la piel;<ed><a0><bd><ed><b1><b5><ed><a0><bc><ed><bf><bc>;<f0><9f><91><b5><f0><9f><8f><bc>;medium-light_skin_tone medium-light skin tone old woman;U+1F475 U+1F3FC;👵 🏼
1310;pig;cerdo;<ed><a0><bd><ed><b0><96>;<f0><9f><90><96>;sow;U+1F416;🐖
1311;boar;Jabali;<ed><a0><bd><ed><b0><97>;<f0><9f><90><97>;pig;U+1F417;🐗
1312;pig nose;nariz de cerdo;<ed><a0><bd><ed><b0><bd>;<f0><9f><90><bd>;face nose pig;U+1F43D;🐽
1313;ram;RAM;<ed><a0><bd><ed><b0><8f>;<f0><9f><90><8f>;Aries sheep zodiac;U+1F40F;🐏
1314;sheep;oveja;<ed><a0><bd><ed><b0><91>;<f0><9f><90><91>;ewe;U+1F411;🐑
1315;goat;cabra;<ed><a0><bd><ed><b0><90>;<f0><9f><90><90>;Capricorn zodiac;U+1F410;🐐
1316;camel;camello;<ed><a0><bd><ed><b0><aa>;<f0><9f><90><aa>;dromedary hump;U+1F42A;🐪
1317;two-hump camel;Camello de dos bueyes;<ed><a0><bd><ed><b0><ab>;<f0><9f><90><ab>;bactrian camel hump;U+1F42B;🐫
1318;elephant;elefante;<ed><a0><bd><ed><b0><98>;<f0><9f><90><98>;elephant;U+1F418;🐘
1319;rhinoceros;rinoceronte;<ed><a0><be><ed><b6><8f>;<f0><9f><a6><8f>;rhinoceros;U+1F98F;🦏
132;old woman: medium skin tone;Mujer de edad: tono de piel medio;<ed><a0><bd><ed><b1><b5><ed><a0><bc><ed><bf><bd>;<f0><9f><91><b5><f0><9f><8f><bd>;medium skin tone old woman;U+1F475 U+1F3FD;👵 🏽
1320;mouse face;Rostro del ratón;<ed><a0><bd><ed><b0><ad>;<f0><9f><90><ad>;face mouse;U+1F42D;🐭
1321;mouse;ratón;<ed><a0><bd><ed><b0><81>;<f0><9f><90><81>;mouse;U+1F401;🐁
1322;rat;rata;<ed><a0><bd><ed><b0><80>;<f0><9f><90><80>;rat;U+1F400;🐀
1323;hamster face;Cara de hamster;<ed><a0><bd><ed><b0><b9>;<f0><9f><90><b9>;face hamster pet;U+1F439;🐹
1324;rabbit face;Cara de conejo;<ed><a0><bd><ed><b0><b0>;<f0><9f><90><b0>;bunny face pet rabbit;U+1F430;🐰
1325;rabbit;Conejo;<ed><a0><bd><ed><b0><87>;<f0><9f><90><87>;bunny pet;U+1F407;🐇
1326;chipmunk;Chipmunk traducción;<ed><a0><bd><ed><b0><bf>;<f0><9f><90><bf>;chipmunk;U+1F43F;🐿
1327;bat;murciélago;<ed><a0><be><ed><b6><87>;<f0><9f><a6><87>;bat vampire;U+1F987;🦇
1328;bear face;Cara de oso;<ed><a0><bd><ed><b0><bb>;<f0><9f><90><bb>;bear face;U+1F43B;🐻
1329;koala;coala;<ed><a0><bd><ed><b0><a8>;<f0><9f><90><a8>;bear;U+1F428;🐨
133;old woman: medium-dark skin tone;Vieja: tono de piel medio-oscuro;<ed><a0><bd><ed><b1><b5><ed><a0><bc><ed><bf><be>;<f0><9f><91><b5><f0><9f><8f><be>;medium-dark_skin_tone medium-dark skin tone old woman;U+1F475 U+1F3FE;👵 🏾
1330;panda face;Cara de panda;<ed><a0><bd><ed><b0><bc>;<f0><9f><90><bc>;face panda;U+1F43C;🐼
1331;paw prints;huellas de garras;<ed><a0><bd><ed><b0><be>;<f0><9f><90><be>;feet paw print;U+1F43E;🐾
1332;turkey;Turquía;<ed><a0><be><ed><b6><83>;<f0><9f><a6><83>;turkey;U+1F983;🦃
1333;chicken;pollo;<ed><a0><bd><ed><b0><94>;<f0><9f><90><94>;chicken;U+1F414;🐔
1334;rooster;gallo;<ed><a0><bd><ed><b0><93>;<f0><9f><90><93>;rooster;U+1F413;🐓
1335;hatching chick;Polluelo para incubar;<ed><a0><bd><ed><b0><a3>;<f0><9f><90><a3>;baby chick hatching;U+1F423;🐣
1336;baby chick;pollito;<ed><a0><bd><ed><b0><a4>;<f0><9f><90><a4>;baby chick;U+1F424;🐤
1337;front-facing baby chick;Chicas de frente;<ed><a0><bd><ed><b0><a5>;<f0><9f><90><a5>;baby chick;U+1F425;🐥
1338;bird;pájaro;<ed><a0><bd><ed><b0><a6>;<f0><9f><90><a6>;bird;U+1F426;🐦
1339;penguin;pingüino;<ed><a0><bd><ed><b0><a7>;<f0><9f><90><a7>;penguin;U+1F427;🐧
134;old woman: dark skin tone;Mujer de edad: tono de piel oscura;<ed><a0><bd><ed><b1><b5><ed><a0><bc><ed><bf><bf>;<f0><9f><91><b5><f0><9f><8f><bf>;dark skin tone old woman;U+1F475 U+1F3FF;👵 🏿
1340;dove;paloma;<ed><a0><bd><ed><b5><8a>;<f0><9f><95><8a>;bird fly peace;U+1F54A;🕊
1341;eagle;águila;<ed><a0><be><ed><b6><85>;<f0><9f><a6><85>;bird eagle;U+1F985;🦅
1342;duck;pato;<ed><a0><be><ed><b6><86>;<f0><9f><a6><86>;bird duck;U+1F986;🦆
1343;owl;búho;<ed><a0><be><ed><b6><89>;<f0><9f><a6><89>;bird owl wise;U+1F989;🦉
1344;frog face;Cara de rana;<ed><a0><bd><ed><b0><b8>;<f0><9f><90><b8>;face frog;U+1F438;🐸
1345;crocodile;cocodrilo;<ed><a0><bd><ed><b0><8a>;<f0><9f><90><8a>;crocodile;U+1F40A;🐊
1346;turtle;Tortuga;<ed><a0><bd><ed><b0><a2>;<f0><9f><90><a2>;terrapin tortoise turtle;U+1F422;🐢
1347;lizard;lagartija;<ed><a0><be><ed><b6><8e>;<f0><9f><a6><8e>;lizard reptile;U+1F98E;🦎
1348;snake;serpiente;<ed><a0><bd><ed><b0><8d>;<f0><9f><90><8d>;bearer Ophiuchus serpent zodiac;U+1F40D;🐍
1349;dragon face;Cara de dragón;<ed><a0><bd><ed><b0><b2>;<f0><9f><90><b2>;dragon face fairy tale;U+1F432;🐲
135;baby;bebé;<ed><a0><bd><ed><b1><b6>;<f0><9f><91><b6>;baby young;U+1F476;👶
1350;dragon;dragón;<ed><a0><bd><ed><b0><89>;<f0><9f><90><89>;fairy tale;U+1F409;🐉
1351;spouting whale;Ballena jorobada;<ed><a0><bd><ed><b0><b3>;<f0><9f><90><b3>;face spouting whale;U+1F433;🐳
1352;whale;ballena;<ed><a0><bd><ed><b0><8b>;<f0><9f><90><8b>;whale;U+1F40B;🐋
1353;dolphin;delfín;<ed><a0><bd><ed><b0><ac>;<f0><9f><90><ac>;flipper;U+1F42C;🐬
1354;fish;pescado;<ed><a0><bd><ed><b0><9f>;<f0><9f><90><9f>;Pisces zodiac;U+1F41F;🐟
1355;tropical fish;pez tropical;<ed><a0><bd><ed><b0><a0>;<f0><9f><90><a0>;fish tropical;U+1F420;🐠
1356;blowfish;Pez globo;<ed><a0><bd><ed><b0><a1>;<f0><9f><90><a1>;fish;U+1F421;🐡
1357;shark;tiburón;<ed><a0><be><ed><b6><88>;<f0><9f><a6><88>;fish shark;U+1F988;🦈
1358;octopus;pulpo;<ed><a0><bd><ed><b0><99>;<f0><9f><90><99>;octopus;U+1F419;🐙
1359;spiral shell;Concha espiral;<ed><a0><bd><ed><b0><9a>;<f0><9f><90><9a>;shell spiral;U+1F41A;🐚
136;baby: light skin tone;Bebé: tono de piel claro;<ed><a0><bd><ed><b1><b6><ed><a0><bc><ed><bf><bb>;<f0><9f><91><b6><f0><9f><8f><bb>;baby light skin tone young;U+1F476 U+1F3FB;👶 🏻
1360;crab;cangrejo;<ed><a0><be><ed><b6><80>;<f0><9f><a6><80>;Cancer zodiac;U+1F980;🦀
1361;shrimp;camarón;<ed><a0><be><ed><b6><90>;<f0><9f><a6><90>;food shellfish shrimp small;U+1F990;🦐
1362;squid;calamar;<ed><a0><be><ed><b6><91>;<f0><9f><a6><91>;food molusc squid;U+1F991;🦑
1363;butterfly;mariposa;<ed><a0><be><ed><b6><8b>;<f0><9f><a6><8b>;butterfly insect pretty;U+1F98B;🦋
1364;snail;caracol;<ed><a0><bd><ed><b0><8c>;<f0><9f><90><8c>;snail;U+1F40C;🐌
1365;bug;error;<ed><a0><bd><ed><b0><9b>;<f0><9f><90><9b>;insect;U+1F41B;🐛
1366;ant;hormiga;<ed><a0><bd><ed><b0><9c>;<f0><9f><90><9c>;insect;U+1F41C;🐜
1367;honeybee;Abeja;<ed><a0><bd><ed><b0><9d>;<f0><9f><90><9d>;bee insect;U+1F41D;🐝
1368;lady beetle;Escarabajo;<ed><a0><bd><ed><b0><9e>;<f0><9f><90><9e>;beetle insect ladybird ladybug;U+1F41E;🐞
1369;spider;araña;<ed><a0><bd><ed><b5><b7>;<f0><9f><95><b7>;insect;U+1F577;🕷
137;baby: medium-light skin tone;Bebé: tono de piel de tono medio;<ed><a0><bd><ed><b1><b6><ed><a0><bc><ed><bf><bc>;<f0><9f><91><b6><f0><9f><8f><bc>;baby medium-light_skin_tone medium-light skin tone young;U+1F476 U+1F3FC;👶 🏼
1370;spider web;telaraña;<ed><a0><bd><ed><b5><b8>;<f0><9f><95><b8>;spider web;U+1F578;🕸
1371;scorpion;escorpión;<ed><a0><be><ed><b6><82>;<f0><9f><a6><82>;scorpio Scorpius zodiac;U+1F982;🦂
1372;bouquet;ramo;<ed><a0><bd><ed><b2><90>;<f0><9f><92><90>;flower;U+1F490;💐
1373;cherry blossom;flor de cerezo;<ed><a0><bc><ed><bc><b8>;<f0><9f><8c><b8>;blossom cherry flower;U+1F338;🌸
1374;white flower;flor blanca;<ed><a0><bd><ed><b2><ae>;<f0><9f><92><ae>;flower;U+1F4AE;💮
1375;rosette;rosetón;<ed><a0><bc><ed><bf><b5>;<f0><9f><8f><b5>;plant;U+1F3F5;🏵
1376;rose;Rosa;<ed><a0><bc><ed><bc><b9>;<f0><9f><8c><b9>;flower;U+1F339;🌹
1377;wilted flower;Flor marchita;<ed><a0><be><ed><b5><80>;<f0><9f><a5><80>;flower wilted;U+1F940;🥀
1378;hibiscus;hibisco;<ed><a0><bc><ed><bc><ba>;<f0><9f><8c><ba>;flower;U+1F33A;🌺
1379;sunflower;girasol;<ed><a0><bc><ed><bc><bb>;<f0><9f><8c><bb>;flower sun;U+1F33B;🌻
138;baby: medium skin tone;Bebé: tono de piel medio;<ed><a0><bd><ed><b1><b6><ed><a0><bc><ed><bf><bd>;<f0><9f><91><b6><f0><9f><8f><bd>;baby medium skin tone young;U+1F476 U+1F3FD;👶 🏽
1380;blossom;flor;<ed><a0><bc><ed><bc><bc>;<f0><9f><8c><bc>;flower;U+1F33C;🌼
1381;tulip;tulipán;<ed><a0><bc><ed><bc><b7>;<f0><9f><8c><b7>;flower;U+1F337;🌷
1382;seedling;planta de semillero;<ed><a0><bc><ed><bc><b1>;<f0><9f><8c><b1>;young;U+1F331;🌱
1383;evergreen tree;árbol de hoja perenne;<ed><a0><bc><ed><bc><b2>;<f0><9f><8c><b2>;tree;U+1F332;🌲
1384;deciduous tree;Árbol de hoja caduca;<ed><a0><bc><ed><bc><b3>;<f0><9f><8c><b3>;deciduous shedding tree;U+1F333;🌳
1385;palm tree;palmera;<ed><a0><bc><ed><bc><b4>;<f0><9f><8c><b4>;palm tree;U+1F334;🌴
1386;cactus;cactus;<ed><a0><bc><ed><bc><b5>;<f0><9f><8c><b5>;plant;U+1F335;🌵
1387;sheaf of rice;Mazo de arroz;<ed><a0><bc><ed><bc><be>;<f0><9f><8c><be>;ear grain rice;U+1F33E;🌾
1388;herb;hierba;<ed><a0><bc><ed><bc><bf>;<f0><9f><8c><bf>;leaf;U+1F33F;🌿
1389;shamrock;trébol;<e2><98><98>;<e2><98><98>;plant;U+2618;☘
139;baby: medium-dark skin tone;Bebé: tono medio-oscuro de la piel;<ed><a0><bd><ed><b1><b6><ed><a0><bc><ed><bf><be>;<f0><9f><91><b6><f0><9f><8f><be>;baby medium-dark_skin_tone medium-dark skin tone young;U+1F476 U+1F3FE;👶 🏾
1390;four leaf clover;trébol de cuatro hojas;<ed><a0><bc><ed><bd><80>;<f0><9f><8d><80>;4 clover four leaf;U+1F340;🍀
1391;maple leaf;hoja de arce;<ed><a0><bc><ed><bd><81>;<f0><9f><8d><81>;falling leaf maple;U+1F341;🍁
1392;fallen leaf;Hoja caida;<ed><a0><bc><ed><bd><82>;<f0><9f><8d><82>;falling leaf;U+1F342;🍂
